,cluster,text
601,0,in fact shameless bjp also trying trade people health promising free vid vaccine biharin fact shameless bjp also trying trade people health promising free vid vaccine bihar manifesto
491,0,how anyone responsible scientists developing vaccine mpanies responded
1345,0,they random crap without nsidering nsequences trump administration shut vaccine safety
1621,0,what bihar thinks today us thinks tomorrow
737,0,man dies vid vaccine trials bbc say nothing worry yeah right
927,0,oh sorry said japan grinning face sweat ever visit vaccine
617,0,inject every one gates vid vaccine
1390,0,this trumps virus unfounately world virus one person held responsible
1045,0,ronavirus oxford astrazeneca vaccine behaves desired analysis finds
1029,0,remind us change handling virus more
,cluster,text
4613,1,gerl received results vaccine survey said 75 people would happy vid vaccine find thisjust received results vaccine survey said 75 people would happy vid vaccine find hard believe curious see even slighty pls
1799,1,astrazeneca watch repos vid vaccine trial volunteer died source
15836,1,vid 19 vaccine nevada safe
8561,1,my gender fluid vaccine
12977,1,the fda hits snag vid vaccine process public marketwatch thumbs up
7327,1,jai sree ram hope announce vid vaccine release date eagerly waiting sir
14832,1,trials going well brazilian dies vid 19 vaccine trial via
17806,1,yes yes yes
7244,1,it real virus get vaccine vid need sta living lives again
4943,1,governor abbott flu vaccine effective way prevent spread influenza expanding access to
,cluster,text
183,2,flu cases getting flu vaccine also getting vaccine virus aflu cases getting flu vaccine also getting vaccine virus survival rate 99 98 vid 19 nothing overly politicized flu
150,2,elderly ignoring rules pain isolation seeing family muchelderly ignoring rules pain isolation seeing family much bare dementia rates risen since vid 19 arrived damage people mental health wellbeing worse risk vid 19 isolate vaccine mes
533,2,the trump administration shut vaccine safety office last year plan new york times
214,2,here impoant questions meera nobody talking problematic itolizumab trials
58,2,another trump administration move endangers american people trump administration shut vaccine safetyanother trump administration move endangers american people trump administration shut vaccine safety office last year plan new york times
570,2,this first armed police used stop protest anti demo way things going
23,2,a vid vaccine aspirational reality vaccinated 100 morninga vid vaccine aspirational reality vaccinated 100 morning means fewer fevers days self isolation vid swabs circulating flu microbe need waay heroes get vaccinated
340,2,my op ed rapid development vid vaccines administration undermine progressmy op ed rapid development vid vaccines administration undermine progress thwa established regulatory process assuring safety effectiveness shocut final critical steps
339,2,my body shall hoax inseed shall mply period
659,2,who taps crusader sway public opinion vid vaccine children health defense
,cluster,text
1,0,1 double exclamation mark beaware double exclamation mark skull crossbones microbe dna syringe warning protection 99 9 survival rate warning total ntrol warning fear warning sdouble exclamation mark beaware double exclamation mark skull crossbones microbe dna syringe warning protection 99 9 survival rate warning total ntrol warning fear warning loosing freedom warning altering dna alarm clock wake time backhand index pointing down
